nazwa,opis,cena_jednostkowa,kategoria
Blender Kielichowy,Moc 1000W idealny do koktajli,149.00,AGD
Jeansy Męskie,Klasyczny krój kolor granatowy,99.99,Moda
Notatnik A5,Twarda oprawa 96 kartek w linię,14.50,Biuro
Kawa Ziarnista 1kg,100% Arabica świeżo palona,44.90,Spożywcze
Zestaw Klocków,Statek kosmiczny 300 elementów,79.99,Zabawki
Zestaw Kluczy,Płasko-oczkowe 12 sztuk stal CrV,65.00,Narzędzia
Obraz na płótnie,Pejzaż górski wymiary 50x70cm,119.00,Dom
Legowisko dla psa,Miękkie pluszowe rozmiar M,85.00,Zwierzęta
Uchwyt Samochodowy,Magnetyczny na kratkę nawiewu,39.00,Motoryzacja
Nasiona Pomidorów,Odmiana malinowa gruntowa,4.50,Ogród
